ID	compound	source	formula
502	532	KEGG COMPOUND	(C5H8O5)n
503	16453	KEGG COMPOUND	C6H7NO3
504	534	KEGG COMPOUND	C20H38O7S
505	28286	KEGG COMPOUND	C6H8O2
506	28618	KEGG COMPOUND	C6H4Cl2
507	16652	KEGG COMPOUND	C6H16N6
508	28677	KEGG COMPOUND	C15H10O4
509	18094	KEGG COMPOUND	C11H8O4
510	540	KEGG COMPOUND	C4H8S2
512	27418	KEGG COMPOUND	C10H6O2
519	16070	KEGG COMPOUND	C6H12O5
521	29064	KEGG COMPOUND	C10H16O3
522	17641	KEGG COMPOUND	C8H10O4
523	18340	KEGG COMPOUND	C7H8O4
525	27912	KEGG COMPOUND	(C6H10O5)n
530	16968	KEGG COMPOUND	C12H22N2O2
537	16986	KEGG COMPOUND	C14H18N3O2.Br
539	17134	KEGG COMPOUND	C8H11NO2
542	18381	KEGG COMPOUND	C10H15N4O9P
543	28413	KEGG COMPOUND	C9H14N3O9P
545	16805	KEGG COMPOUND	C10H15N2O9P
546	37754	KEGG COMPOUND	C10H14N2O2
547	28162	KEGG COMPOUND	C11H14NO4P
549	581	KEGG COMPOUND	C8H11NO
550	582	KEGG COMPOUND	C22H24O8
551	583	KEGG COMPOUND	C21H26N2O2
560	16617	KEGG COMPOUND	C10H18O12PR
574	16181	KEGG COMPOUND	C6H13NO5
575	17928	KEGG COMPOUND	C6H14NO8P
577	18053	KEGG COMPOUND	C4H7NO2
579	611	KEGG COMPOUND	C25H21N3O2
580	28885	KEGG COMPOUND	C4H10O
581	613	KEGG COMPOUND	C16H18O8
583	615	KEGG COMPOUND	C7H7NO3
584	616	KEGG COMPOUND	C20H21N3O
585	17056	KEGG COMPOUND	C4H5O7P
586	28555	KEGG COMPOUND	C14H11Cl3
587	27454	KEGG COMPOUND	C14H9Cl3
588	16421	KEGG COMPOUND	C7H15O9P
589	28354	KEGG COMPOUND	C5H10O4
590	16493	KEGG COMPOUND	C5H11O7P
592	28779	KEGG COMPOUND	C10H8O2
593	17110	KEGG COMPOUND	C7H15N3O5
598	17770	KEGG COMPOUND	C20H18O9
600	15664	KEGG COMPOUND	C5H12O8P2
602	36108	KEGG COMPOUND	C11H8O3
606	27753	KEGG COMPOUND	C15H12O
607	17963	KEGG COMPOUND	C12H15N
608	17472	KEGG COMPOUND	C12H15NO
609	641	KEGG COMPOUND	C12H12N
615	27435	KEGG COMPOUND	C5H10N
616	27395	KEGG COMPOUND	C27H24O18
617	15723	KEGG COMPOUND	C20H20O14
622	15834	KEGG COMPOUND	C13H16O10
623	18427	KEGG COMPOUND	C7H14O6
624	16546	KEGG COMPOUND	C17H22O10
627	16188	KEGG COMPOUND	C8H18O
632	28468	KEGG COMPOUND	C24H51NO7P
633	666	KEGG COMPOUND	C17H22O7
634	27528	KEGG COMPOUND	C14H10O
635	668	KEGG COMPOUND	C13H10
636	669	KEGG COMPOUND	C8H10O
637	670	KEGG COMPOUND	C8H11N
638	671	KEGG COMPOUND	C13H8
647	17543	KEGG COMPOUND	C6H11O10P
648	16787	KEGG COMPOUND	C6H11O10P
650	36761	KEGG COMPOUND	C5H7NO2
651	16352	KEGG COMPOUND	C5H7NO3
655	18428	KEGG COMPOUND	C17H22O10
656	17505	KEGG COMPOUND	C12H22O11
658	17261	KEGG COMPOUND	C12H21N3O8
659	692	KEGG COMPOUND	C16H32O4
660	18193	KEGG COMPOUND	C29H36O10
661	694	KEGG COMPOUND	C25H32O13
662	695	KEGG COMPOUND	C16H22O9
663	16060	KEGG COMPOUND	C19H22N2O
664	15634	KEGG COMPOUND	C20H21N7O7
667	28010	KEGG COMPOUND	C25H30N8O10(C5H7NO3)n
670	15878	KEGG COMPOUND	C20H15NO5
671	705	KEGG COMPOUND	C17H26O11
672	706	KEGG COMPOUND	C17H26O12
673	17130	KEGG COMPOUND	C10H18O3
674	708	KEGG COMPOUND	C20H24O8
675	709	KEGG COMPOUND	C19H28O4
676	28667	KEGG COMPOUND	C20H32O6
678	712	KEGG COMPOUND	C30H44O6
680	28324	KEGG COMPOUND	C21H30O4
681	715	KEGG COMPOUND	C14H8N2O2
682	716	KEGG COMPOUND	C26H36O13
684	16147	KEGG COMPOUND	C22H28N2O5
685	719	KEGG COMPOUND	C28H23NO12
686	720	KEGG COMPOUND	C25H18O11
687	721	KEGG COMPOUND	C27H21NO11
688	722	KEGG COMPOUND	C27H21NO12
689	723	KEGG COMPOUND	C24H16O10
690	724	KEGG COMPOUND	C24H16O11
693	16066	KEGG COMPOUND	C20H28O
694	16302	KEGG COMPOUND	C20H30O
695	16254	KEGG COMPOUND	C36H60O2
696	27595	KEGG COMPOUND	C20H34O5
697	16076	KEGG COMPOUND	C21H30O3
699	27783	KEGG COMPOUND	C21H32O5
702	27967	KEGG COMPOUND	C19H26O3
703	28247	KEGG COMPOUND	C21H30O3
705	15808	KEGG COMPOUND	C22H22N2O8
706	15716	KEGG COMPOUND	C21H17NO6
707	27814	KEGG COMPOUND	C20H30O4
708	743	KEGG COMPOUND	C30H40O7
709	744	KEGG COMPOUND	C38H60O9
711	37537	KEGG COMPOUND	C36H56O8
712	68051	KEGG COMPOUND	C23H22O7
713	748	KEGG COMPOUND	C28H36O10
714	18360	KEGG COMPOUND	C20H30N2O3
715	17314	KEGG COMPOUND	C22H44O3
716	18328	KEGG COMPOUND	C15H24N2O2
717	36486	KEGG COMPOUND	C28H54O8
718	17457	KEGG COMPOUND	C22H30O
719	754	KEGG COMPOUND	C36H48N2O10
720	18364	KEGG COMPOUND	C29H48O
722	16790	KEGG COMPOUND	C33H36N4O6
723	15628	KEGG COMPOUND	C20H32O4
725	28442	KEGG COMPOUND	C20H32O5
726	15559	KEGG COMPOUND	C20H30O3
727	27486	KEGG COMPOUND	C21H30O2
728	763	KEGG COMPOUND	C21H30O4
729	18204	KEGG COMPOUND	C21H28O2
732	17699	KEGG COMPOUND	C21H24N2O3
733	18430	KEGG COMPOUND	C22H28N2O4
734	769	KEGG COMPOUND	C22H26N2O3
736	771	KEGG COMPOUND	C21H32O3
737	772	KEGG COMPOUND	C24H31O9
739	27582	KEGG COMPOUND	C19H26O3
740	27771	KEGG COMPOUND	C19H28O3
742	15826	KEGG COMPOUND	C21H30O3
745	17384	KEGG COMPOUND	C21H26N2O3
746	781	KEGG COMPOUND	C20H30O4
748	783	KEGG COMPOUND	C27H46O3
749	16418	KEGG COMPOUND	C21H32O3
750	18093	KEGG COMPOUND	C21H30O5
751	27832	KEGG COMPOUND	C21H32O4
753	28750	KEGG COMPOUND	C21H32O3
754	17252	KEGG COMPOUND	C21H30O3
756	792	KEGG COMPOUND	C24H31O11S
757	16330	KEGG COMPOUND	C19H30O2
759	16485	KEGG COMPOUND	C21H30O5
760	27576	KEGG COMPOUND	C19H26O3
761	797	KEGG COMPOUND	C21H24N2O3
762	798	KEGG COMPOUND	C19H28O3
763	799	KEGG COMPOUND	C19H24O3
764	801	KEGG COMPOUND	C21H24N2O3
765	802	KEGG COMPOUND	C21H22N2O3
766	17845	KEGG COMPOUND	C7H13N3O5
768	27695	KEGG COMPOUND	C7H17N4O7P
769	28399	KEGG COMPOUND	C7H17N4O7P
770	16322	KEGG COMPOUND	C6H17O21P5
771	16783	KEGG COMPOUND	C6H16O18P4
772	16155	KEGG COMPOUND	C6H16O18P4
773	18228	KEGG COMPOUND	C6H15O15P3
774	16067	KEGG COMPOUND	C6H16O18P4
775	17816	KEGG COMPOUND	C6H14O12P2
776	15844	KEGG COMPOUND	C6H16O18P4
777	18169	KEGG COMPOUND	C6H13O9P
780	18295	KEGG COMPOUND	C5H9N3
781	18297	KEGG COMPOUND	C6H13O9P
