file001_18S_clip	file002_18S_clip	file003_18S_clip	file004_18S_clip	file005_18S_clip	file006_18S_clip	file007_18S_clip	file008_18S_clip	file009_18S_clip	file010_18S_clip	file011_18S_clip	file012_18S_clip	file013_18S_clip	file014_18S_clip	file015_18S_clip	file016_18S_clip	file017_18S_clip	file018_18S_clip	file019_18S_clip	file020_18S_clip	file021_18S_clip	file022_18S_clip	file023_18S_clip	file024_18S_clip	file025_18S_clip	file026_18S_clip	file027_18S_clip	file028_18S_clip	file029_18S_clip	file030_18S_clip	file031_18S_clip	file032_18S_clip
asv69	1	36	0	0	9	4	4380	0	12	1	0	0	2	18	65	0	24	0	1	0	547	1	0	449	0	245	0	0	0	0	23	0
asv70	522	23	24	0	127	25	1109	0	153	138	72	85	143	982	29	65	328	1156	103	0	117	50	0	21	0	95	0	328	0	0	63	0
asv71	388	32	95	0	532	20	894	0	207	286	449	287	127	748	16	41	230	671	73	0	104	99	0	0	0	85	0	269	0	0	98	0
asv72	0	436	0	0	0	1049	279	0	0	0	0	0	9	0	26	1	0	0	0	0	331	0	0	3238	0	235	0	0	0	0	125	0
asv73	6	714	5	0	52	376	1113	0	5	8	12	5	2	40	155	0	14	3	0	1	533	1	2	2362	0	212	0	2	0	0	72	0
asv74	1	392	39	0	35	1628	883	0	31	24	13	0	21	91	101	34	43	0	5	0	506	11	1	1409	0	256	0	1	0	0	166	0
asv75	115	114	49	0	261	16	878	1	87	167	119	149	284	298	81	122	441	225	71	0	1265	112	0	0	0	439	0	240	0	0	50	0
asv76	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	2	0	5542	0	0	0
asv77	232	346	0	0	20	147	1220	0	4	9	0	12	484	33	236	1722	12	38	0	0	680	0	0	3	0	300	0	0	0	0	25	0
asv78	0	1556	0	0	0	256	645	0	1	0	0	0	0	14	319	0	4	0	0	0	857	0	1	746	0	1040	0	0	0	0	0	0
asv79	1	431	1	1	19	336	1255	1	10	1	0	2	0	48	33	0	14	20	0	0	356	0	0	2296	0	540	0	5	0	0	22	0
asv80	347	5	170	0	138	7	446	0	151	345	447	137	52	1192	10	19	656	121	108	0	38	43	0	0	0	33	0	808	0	0	58	0
asv81	259	54	23	1	138	23	1069	0	49	101	93	91	360	316	44	53	145	1967	45	0	141	41	0	0	0	80	0	182	0	0	17	0
